,SEQN,milk_type_dummy,milk_product_consumption_freq_dummy,eat_outside,ready_to_eat_food,frozen_food
0,83732.0,10.0,3.0,1.0,2.0,5.397605346934028e-79
1,83733.0,,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
2,83734.0,11.0,2.0,4.0,5.397605346934028e-79,5.397605346934028e-79
3,83735.0,,5.397605346934028e-79,3.0,11.0,15.0
4,83736.0,,5.397605346934028e-79,3.0,3.0,1.0
5,83737.0,30.0,2.0,1.0,5.397605346934028e-79,5.397605346934028e-79
6,83738.0,11.0,3.0,5.397605346934028e-79,5.397605346934028e-79,3.0
7,83739.0,12.0,3.0,2.0,1.0,3.0
8,83740.0,,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
9,83741.0,30.0,2.0,3.0,5.397605346934028e-79,5.397605346934028e-79
10,83742.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,1.0
11,83743.0,13.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
12,83744.0,,5.397605346934028e-79,8.0,5.397605346934028e-79,5.397605346934028e-79
13,83745.0,10.0,2.0,1.0,5.397605346934028e-79,2.0
14,83746.0,10.0,2.0,5.397605346934028e-79,3.0,2.0
15,83747.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,4.0
16,83748.0,11.0,3.0,2.0,5.397605346934028e-79,5.397605346934028e-79
17,83749.0,11.0,1.0,4.0,5.397605346934028e-79,5.397605346934028e-79
18,83750.0,10.0,3.0,3.0,5.397605346934028e-79,6.0
19,83751.0,12.0,3.0,4.0,5.397605346934028e-79,10.0
20,83752.0,10.0,3.0,4.0,5.397605346934028e-79,5.397605346934028e-79
21,83753.0,11.0,3.0,5.397605346934028e-79,14.0,5.397605346934028e-79
22,83754.0,11.0,3.0,3.0,2.0,5.397605346934028e-79
23,83755.0,11.0,3.0,6.0,7.0,
24,83756.0,12.0,3.0,5.397605346934028e-79,5.397605346934028e-79,1.0
25,83757.0,11.0,3.0,5.0,5.397605346934028e-79,8.0
26,83758.0,10.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79
27,83759.0,11.0,2.0,5.0,8.0,2.0
28,83760.0,10.0,2.0,2.0,8.0,5.397605346934028e-79
29,83761.0,13.0,1.0,10.0,5.0,5.397605346934028e-79
30,83762.0,,5.397605346934028e-79,10.0,5.397605346934028e-79,15.0
31,83763.0,11.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
32,83764.0,13.0,3.0,4.0,5.397605346934028e-79,5.397605346934028e-79
33,83765.0,,,,,
34,83766.0,12.0,2.0,7.0,5.397605346934028e-79,3.0
35,83767.0,,5.397605346934028e-79,4.0,2.0,5.397605346934028e-79
36,83768.0,11.0,3.0,5.0,30.0,30.0
37,83769.0,11.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79
38,83770.0,11.0,3.0,5.397605346934028e-79,4.0,5.397605346934028e-79
39,83771.0,11.0,3.0,2.0,5.397605346934028e-79,4.0
40,83772.0,12.0,3.0,2.0,5.397605346934028e-79,5.397605346934028e-79
41,83773.0,10.0,3.0,2.0,1.0,3.0
42,83774.0,11.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
43,83775.0,10.0,2.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
44,83776.0,11.0,2.0,4.0,2.0,5.397605346934028e-79
45,83777.0,11.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
46,83778.0,11.0,2.0,3.0,5.397605346934028e-79,5.397605346934028e-79
47,83779.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
48,83780.0,11.0,3.0,2.0,7.0,5.397605346934028e-79
49,83781.0,11.0,2.0,14.0,5.397605346934028e-79,5.397605346934028e-79
50,83782.0,,,,,
51,83783.0,11.0,2.0,2.0,2.0,1.0
52,83784.0,11.0,2.0,15.0,60.0,1.0
53,83785.0,30.0,1.0,4.0,5.397605346934028e-79,10.0
54,83786.0,,5.397605346934028e-79,2.0,3.0,5.397605346934028e-79
55,83787.0,11.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79
56,83788.0,12.0,3.0,5.397605346934028e-79,5.397605346934028e-79,3.0
57,83789.0,12.0,1.0,3.0,4.0,5.397605346934028e-79
58,83790.0,10.0,3.0,7.0,5.397605346934028e-79,5.397605346934028e-79
59,83791.0,13.0,2.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
60,83792.0,11.0,3.0,5.0,8.0,10.0
61,83793.0,12.0,3.0,1.0,5.397605346934028e-79,21.0
62,83794.0,12.0,2.0,2.0,5.397605346934028e-79,4.0
63,83795.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
64,83796.0,13.0,3.0,3.0,1.0,5.397605346934028e-79
65,83797.0,10.0,3.0,2.0,5.397605346934028e-79,5.397605346934028e-79
66,83798.0,,,,,
67,83799.0,,5.397605346934028e-79,2.0,5.397605346934028e-79,5.397605346934028e-79
68,83800.0,10.0,3.0,5.0,8.0,5.397605346934028e-79
69,83801.0,11.0,2.0,2.0,2.0,5.397605346934028e-79
70,83802.0,10.0,2.0,2.0,1.0,5.397605346934028e-79
71,83803.0,14.0,3.0,10.0,5.0,5.0
72,83804.0,10.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79
73,83805.0,12.0,3.0,2.0,5.397605346934028e-79,5.397605346934028e-79
74,83806.0,10.0,3.0,3.0,5.397605346934028e-79,5.397605346934028e-79
75,83807.0,12.0,2.0,3.0,5.397605346934028e-79,5.397605346934028e-79
76,83808.0,10.0,3.0,2.0,5.397605346934028e-79,5.397605346934028e-79
77,83809.0,11.0,3.0,3.0,2.0,3.0
78,83810.0,10.0,2.0,3.0,5.397605346934028e-79,5.397605346934028e-79
79,83811.0,14.0,3.0,2.0,5.397605346934028e-79,1.0
80,83812.0,10.0,3.0,7.0,5.397605346934028e-79,5.397605346934028e-79
81,83813.0,10.0,2.0,3.0,2.0,5.0
82,83814.0,11.0,3.0,1.0,5.397605346934028e-79,17.0
83,83815.0,11.0,3.0,5.397605346934028e-79,5.397605346934028e-79,1.0
84,83816.0,10.0,1.0,5.397605346934028e-79,5.397605346934028e-79,4.0
85,83817.0,,5.397605346934028e-79,2.0,5.397605346934028e-79,5.397605346934028e-79
86,83818.0,11.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
87,83819.0,10.0,1.0,2.0,3.0,21.0
88,83820.0,10.0,1.0,2.0,5.397605346934028e-79,5.397605346934028e-79
89,83821.0,11.0,3.0,5.397605346934028e-79,5.397605346934028e-79,15.0
90,83822.0,10.0,1.0,1.0,5.397605346934028e-79,8.0
91,83823.0,12.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
92,83824.0,13.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79
93,83825.0,11.0,1.0,3.0,5.397605346934028e-79,5.397605346934028e-79
94,83826.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
95,83827.0,,5.397605346934028e-79,2.0,6.0,5.0
96,83828.0,11.0,1.0,3.0,2.0,5.397605346934028e-79
97,83829.0,14.0,3.0,2.0,5.397605346934028e-79,5.397605346934028e-79
98,83830.0,10.0,3.0,1.0,5.397605346934028e-79,30.0
99,83831.0,10.0,2.0,5.397605346934028e-79,5.397605346934028e-79,1.0
100,83832.0,13.0,1.0,1.0,5.397605346934028e-79,5.397605346934028e-79
101,83833.0,11.0,3.0,1.0,5.397605346934028e-79,5.0
102,83834.0,11.0,3.0,3.0,5.397605346934028e-79,5.397605346934028e-79
103,83835.0,10.0,1.0,3.0,5.397605346934028e-79,3.0
104,83836.0,10.0,1.0,5.0,8.0,8.0
105,83837.0,11.0,2.0,1.0,3.0,5.397605346934028e-79
106,83838.0,12.0,3.0,2.0,3.0,1.0
107,83839.0,11.0,3.0,3.0,1.0,15.0
108,83840.0,,,,,
109,83841.0,11.0,3.0,,,
110,83842.0,10.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79
111,83843.0,11.0,2.0,3.0,5.397605346934028e-79,1.0
112,83844.0,,5.397605346934028e-79,3.0,5.397605346934028e-79,5.397605346934028e-79
113,83845.0,,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
114,83846.0,30.0,2.0,4.0,5.397605346934028e-79,1.0
115,83847.0,11.0,2.0,6.0,5.397605346934028e-79,5.397605346934028e-79
116,83848.0,10.0,2.0,1.0,5.397605346934028e-79,2.0
117,83849.0,10.0,1.0,2.0,5.397605346934028e-79,5.397605346934028e-79
118,83850.0,12.0,2.0,,,
119,83851.0,10.0,1.0,3.0,2.0,2.0
120,83852.0,,,,,
121,83853.0,,5.397605346934028e-79,7.0,5.397605346934028e-79,5.397605346934028e-79
122,83854.0,11.0,2.0,7.0,2.0,8.0
123,83855.0,11.0,3.0,2.0,5.397605346934028e-79,5.397605346934028e-79
124,83856.0,10.0,1.0,5.0,5.397605346934028e-79,1.0
125,83857.0,11.0,1.0,1.0,21.0,1.0
126,83858.0,,,,,
127,83859.0,10.0,3.0,5.397605346934028e-79,5.0,5.397605346934028e-79
128,83860.0,,5.397605346934028e-79,12.0,4.0,5.397605346934028e-79
129,83861.0,,5.397605346934028e-79,5.397605346934028e-79,2.0,5.397605346934028e-79
130,83862.0,11.0,3.0,1.0,5.397605346934028e-79,1.0
131,83863.0,11.0,3.0,7.0,5.397605346934028e-79,5.397605346934028e-79
132,83864.0,11.0,2.0,1.0,5.397605346934028e-79,4.0
133,83865.0,11.0,3.0,4.0,5.397605346934028e-79,2.0
134,83866.0,14.0,1.0,3.0,1.0,5.397605346934028e-79
135,83867.0,10.0,2.0,3.0,5.397605346934028e-79,30.0
136,83868.0,11.0,2.0,5.397605346934028e-79,2.0,5.0
137,83869.0,30.0,1.0,1.0,5.397605346934028e-79,5.397605346934028e-79
138,83870.0,11.0,3.0,10.0,5.397605346934028e-79,5.397605346934028e-79
139,83871.0,11.0,2.0,1.0,5.397605346934028e-79,5.397605346934028e-79
140,83872.0,11.0,1.0,3.0,5.397605346934028e-79,5.397605346934028e-79
141,83873.0,13.0,3.0,3.0,5.397605346934028e-79,1.0
142,83874.0,12.0,3.0,1.0,4.0,5.397605346934028e-79
143,83875.0,10.0,2.0,1.0,5.397605346934028e-79,5.397605346934028e-79
144,83876.0,11.0,2.0,7.0,2.0,5.397605346934028e-79
145,83877.0,11.0,1.0,,,
146,83878.0,14.0,2.0,5.397605346934028e-79,5.397605346934028e-79,1.0
147,83879.0,12.0,3.0,5.0,1.0,5.397605346934028e-79
148,83880.0,10.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79
149,83881.0,,5.397605346934028e-79,1.0,5.0,5.397605346934028e-79
150,83882.0,12.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79
151,83883.0,11.0,3.0,4.0,5.397605346934028e-79,5.397605346934028e-79
152,83884.0,,5.397605346934028e-79,1.0,5.397605346934028e-79,5.397605346934028e-79
153,83885.0,14.0,2.0,2.0,30.0,5.397605346934028e-79
154,83886.0,11.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79
155,83887.0,10.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
156,83888.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,1.0
157,83889.0,12.0,3.0,4.0,5.397605346934028e-79,3.0
158,83890.0,11.0,1.0,1.0,5.397605346934028e-79,85.0
159,83891.0,30.0,1.0,3.0,1.0,2.0
160,83892.0,,5.397605346934028e-79,7.0,5.397605346934028e-79,15.0
161,83893.0,10.0,2.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
162,83894.0,10.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
163,83895.0,10.0,3.0,6.0,,4.0
164,83896.0,12.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79
165,83897.0,,5.397605346934028e-79,1.0,5.397605346934028e-79,5.397605346934028e-79
166,83898.0,11.0,1.0,5.0,2.0,5.0
167,83899.0,10.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79
168,83900.0,10.0,2.0,5.397605346934028e-79,2.0,3.0
169,83901.0,11.0,3.0,5.397605346934028e-79,6.0,2.0
170,83902.0,30.0,3.0,3.0,4.0,2.0
171,83903.0,11.0,2.0,3.0,3.0,5.397605346934028e-79
172,83904.0,10.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
173,83905.0,11.0,3.0,2.0,5.397605346934028e-79,12.0
174,83906.0,11.0,2.0,5.0,5.397605346934028e-79,5.397605346934028e-79
175,83907.0,13.0,2.0,10.0,1.0,5.397605346934028e-79
176,83908.0,12.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79
177,83909.0,,5.397605346934028e-79,15.0,5.397605346934028e-79,4.0
178,83910.0,10.0,2.0,1.0,5.397605346934028e-79,1.0
179,83911.0,11.0,2.0,3.0,5.0,5.397605346934028e-79
180,83912.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
181,83913.0,,5.397605346934028e-79,1.0,5.397605346934028e-79,5.397605346934028e-79
182,83914.0,11.0,3.0,2.0,16.0,10.0
183,83915.0,10.0,2.0,14.0,5.397605346934028e-79,5.397605346934028e-79
184,83916.0,11.0,3.0,3.0,5.397605346934028e-79,5.397605346934028e-79
185,83917.0,11.0,1.0,2.0,5.397605346934028e-79,4.0
186,83918.0,10.0,2.0,2.0,3.0,2.0
187,83919.0,11.0,2.0,4.0,2.0,21.0
188,83920.0,11.0,2.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
189,83921.0,11.0,2.0,2.0,30.0,4.0
190,83922.0,10.0,3.0,3.0,5.397605346934028e-79,5.397605346934028e-79
191,83923.0,10.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79
192,83924.0,11.0,3.0,5.0,5.397605346934028e-79,5.397605346934028e-79
193,83925.0,11.0,2.0,3.0,5.397605346934028e-79,5.397605346934028e-79
194,83926.0,13.0,2.0,10.0,5.397605346934028e-79,2.0
195,83927.0,10.0,2.0,1.0,5.397605346934028e-79,5.397605346934028e-79
196,83928.0,10.0,2.0,5.397605346934028e-79,4.0,2.0
197,83929.0,11.0,3.0,3.0,5.397605346934028e-79,5.397605346934028e-79
198,83930.0,10.0,3.0,4.0,1.0,5.397605346934028e-79
199,83931.0,10.0,2.0,3.0,5.397605346934028e-79,8.0
200,83932.0,13.0,3.0,3.0,5.397605346934028e-79,5.397605346934028e-79
201,83933.0,,5.397605346934028e-79,1.0,15.0,5.397605346934028e-79
202,83934.0,10.0,1.0,3.0,5.397605346934028e-79,1.0
