,SEQN,Spending_on_nonfood,Spending_on_eating_out,Spending_on_carryout_deliverred,Spending_on_food
4197,66358.0,0.11764705882352941,0.35294117647058826,6.350123937569444e-82,0.5294117647058824
4198,66359.0,4.9977827286426186e-82,0.5555555555555556,0.07407407407407407,0.37037037037037035
4199,66360.0,0.16877637130801687,0.16877637130801687,4.554941221041374e-82,0.6624472573839663
4200,66361.0,1.384001371008725e-81,0.23076923076923078,1.384001371008725e-81,0.7692307692307693
4201,66362.0,0.08333333333333333,0.05,8.996008911556714e-82,0.8666666666666667
4202,66363.0,8.567627534815917e-82,0.15873015873015872,8.567627534815917e-82,0.8412698412698412
4203,66364.0,5.180043519130545e-82,0.2399232245681382,5.180043519130545e-82,0.7600767754318618
4204,66365.0,0.15873015873015872,0.047619047619047616,8.567627534815917e-82,0.7936507936507936
4205,66366.0,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.5454545454545454
4206,66367.0,0.10948905109489052,0.16058394160583941,3.939857917470093e-82,0.7299270072992701
4207,66368.0,0.15,0.25,0.1,0.5
4208,66369.0,1.384001371008725e-81,0.10256410256410256,1.384001371008725e-81,0.8974358974358975
4209,66370.0,7.414293058975314e-82,0.17582417582417584,7.414293058975314e-82,0.8241758241758241
4210,66371.0,0.05333333333333334,0.13333333333333333,1.439361425849074e-81,0.8133333333333334
4211,66372.0,0.18181818181818182,0.09090909090909091,4.906913951758207e-82,0.7272727272727273
4212,66373.0,0.15789473684210525,1.420422459719481e-81,0.05263157894736842,0.7894736842105263
4213,66374.0,0.16877637130801687,0.16877637130801687,4.554941221041374e-82,0.6624472573839663
4214,66375.0,0.49967895594975825,0.49967895594975825,2.697072501457329e-85,0.0006420881004835399
4215,66376.0,9.638580976667907e-82,0.10714285714285714,9.638580976667907e-82,0.8928571428571428
4216,66377.0,7.710864781334326e-82,0.07142857142857142,0.14285714285714285,0.7857142857142857
4217,66378.0,3.5984035646226855e-81,0.6666666666666666,3.5984035646226855e-81,0.3333333333333333
4218,66379.0,7.19680712924537e-82,0.26666666666666666,0.06666666666666667,0.6666666666666666
4219,66380.0,0.1,0.16666666666666666,0.06666666666666667,0.6666666666666666
4220,66381.0,2.620196770356324e-81,0.02912621359223301,2.620196770356324e-81,0.970873786407767
4221,66382.0,8.304008226052351e-82,8.304008226052351e-82,8.304008226052351e-82,1.0
4222,66383.0,2.698130838888131e-85,0.4998750311172518,0.4998750311172518,0.0002499377654963914
4223,66384.0,0.08097165991902834,0.4331983805668016,4.3705306452907107e-82,0.48582995951417
4224,66385.0,1.542172956266865e-81,0.2857142857142857,1.542172956266865e-81,0.7142857142857143
4225,66386.0,7.294061279640579e-82,0.05405405405405406,7.294061279640579e-82,0.9459459459459459
